,country,date,decimal,indicator,value,country_code
2726,Afghanistan,2017,1,CPIA gender equality rating (1=low to 6=high),1.5,AF
15138,"Yemen, Rep.",2017,1,CPIA gender equality rating (1=low to 6=high),1.5,YE
12934,Somalia,2017,1,CPIA gender equality rating (1=low to 6=high),2.0,SO
7482,Guinea-Bissau,2017,1,CPIA gender equality rating (1=low to 6=high),2.0,GW
13050,South Sudan,2017,1,CPIA gender equality rating (1=low to 6=high),2.0,SS
10208,"Micronesia, Fed. Sts.",2017,1,CPIA gender equality rating (1=low to 6=high),2.5,FM
8642,Kiribati,2017,1,CPIA gender equality rating (1=low to 6=high),2.5,KI
13456,Sudan,2017,1,CPIA gender equality rating (1=low to 6=high),2.5,SD
7598,Haiti,2017,1,CPIA gender equality rating (1=low to 6=high),2.5,HT
11078,Niger,2017,1,CPIA gender equality rating (1=low to 6=high),2.5,NE
6264,Eritrea,2017,1,CPIA gender equality rating (1=low to 6=high),2.5,ER
5278,"Congo, Dem. Rep.",2017,1,CPIA gender equality rating (1=low to 6=high),2.5,CD
4930,Chad,2017,1,CPIA gender equality rating (1=low to 6=high),2.5,TD
9860,Mali,2017,1,CPIA gender equality rating (1=low to 6=high),2.5,ML
11368,Pakistan,2017,1,CPIA gender equality rating (1=low to 6=high),2.5,PK
